Symbol,ebit / ev,roa,equity / debt,market cap / equity,net-net
LX,11.19,0.11,0.0,0.04,0.04
MIC,0.0,0.0,0.0,0.0,0.0
DTEA,0.0,0.99,1.6,0.51,0.48
DGLY,0.0,0.31,2.06,0.34,0.51
QURE,0.76,0.41,2.79,1.49,1.94
JXN,1.0,0.0,0.0,0.31,-0.01
RYB,0.0,0.0,0.0,0.0,0.0
ZIM,3.37,0.47,0.0,0.61,3.42
BSIG,0.9,1.16,0.0,-44.05,-4.32
PKX,0.81,0.0,1.38,0.0,0.0
LEU,0.35,0.31,0.0,-4.22,-3.31
GLBS,1.83,0.0,3.73,0.18,2.27
GPRO,0.67,0.29,0.0,1.37,3.15
OMER,0.48,0.46,0.0,8.15,
MT,0.65,0.17,1.25,0.43,2.01
TX,0.76,0.22,2.17,0.54,0.78
LBTYA,0.6,0.29,1.22,0.35,-0.61
LBTYK,0.0,0.29,1.22,0.37,-0.65
CHCI,0.65,0.31,1.01,1.69,10.17
RVP,1.0,0.27,0.0,0.84,2.12
BRN,0.34,0.26,0.0,3.09,4.62
DAC,0.5,0.29,1.36,0.58,-1.38
CIO,0.45,0.3,1.04,0.57,-0.68
HOV,0.45,0.26,0.0,5.48,0.78
EBAY,0.45,0.51,0.0,2.46,-3.36
NMM,0.41,0.14,0.0,0.44,-0.49
GNW,0.35,0.0,0.0,0.15,-0.04
WFG,0.44,0.28,2.76,1.01,5.61
WOW,0.46,0.4,0.0,2.03,-1.15
LIVE,0.42,0.15,0.0,0.52,2.87
GTX,0.37,0.18,0.0,-0.8,-0.39
NMRK,0.35,0.14,0.0,1.43,-3.25
CPG,0.0,0.0,0.0,0.0,0.0
BXC,0.35,0.22,0.0,1.74,1.29
BNTX,0.34,0.65,3.02,2.68,1.54
EDRY,0.4,0.19,0.0,0.52,-0.82
BAK,0.3,0.15,0.0,0.68,-0.17
LTRPA,0.25,0.0,0.0,-0.56,-0.1
MATX,0.29,0.25,0.0,1.75,-2.79
RFP,0.17,0.0,0.0,1.06,-2.95
ECC,0.24,0.17,2.08,0.7,-1.89
FRD,0.17,0.0,1.0,0.81,0.61
VIR,0.22,0.27,2.74,1.94,1.72
SALM,0.19,0.0,0.0,0.28,-0.18
ZEUS,0.2,0.12,0.0,0.68,0.45
RYI,0.16,0.12,0.0,2.35,1.86
COOP,0.15,0.1,0.0,0.95,-2.46
TEF,0.18,0.0,0.0,0.83,-0.39
NRG,0.12,0.0,0.0,2.88,-1.83
VEON,0.13,0.0,0.0,1.01,-0.07
OFS,0.14,0.1,0.0,0.56,-0.39
FSK,0.11,0.0,0.0,0.67,-0.66
NM,0.11,0.0,0.0,4.33,-0.03
BZH,0.11,0.0,0.0,0.43,0.25
TIGO,0.1,0.0,0.0,0.43,-0.11
GHLD,0.09,0.0,0.0,0.61,1.21
FURY,0.0,0.0,16.28,0.3,-10.03
WEBR,0.0,0.0,0.0,-139.83,-1.99
STAR,0.0,0.0,0.0,0.75,-0.67
CPLP,0.0,0.0,0.0,0.57,-0.22
SBGI,0.0,0.0,0.0,-0.81,-0.14
DHC,0.0,0.0,0.0,0.1,-0.09
OPHC,0.0,0.0,0.0,0.51,-0.08
CYH,0.0,0.0,0.0,-0.2,-0.03
TV,0.0,0.0,0.0,0.04,-0.03
QD,0.0,0.0,7.98,0.02,0.02
XYF,0.0,0.11,1.18,0.02,0.02
FFHL,0.0,0.19,2.0,0.08,0.1
FINV,0.0,0.14,1.43,0.13,0.12
QFIN,0.0,0.17,0.0,0.14,0.11
CAN,0.0,0.36,1.59,0.16,0.15
SJ,0.0,0.16,2.89,0.06,0.09
SGMA,0.0,0.0,0.0,0.34,0.24
JFIN,0.0,0.49,0.0,4.58,0.52
SESN,0.0,0.0,2.49,0.59,0.66
DPRO,0.0,0.0,4.86,0.66,0.79
ITOS,0.0,0.24,1.67,1.21,1.21
TSRI,0.0,0.0,0.0,2.82,1.85
HIVE,0.0,0.18,6.15,3.27,9.04
AOSL,0.09,0.0,0.0,2.15,7.18
AZTA,0.0,0.0,2.68,2.31,7.39
PFSW,,0.45,1.8,0.93,1.0
STG,0.0,0.0,0.0,-0.06,
LMNL,0.0,0.1,0.0,0.4,
GTIM,,0.18,0.0,0.94,-0.56
ADES,,0.33,3.86,0.36,0.62
CBAT,,0.23,1.09,0.78,1.68
OESX,0.16,0.0,3.0,0.81,1.03
DQ,,0.22,3.18,1.64,2.35
SLAB,,0.72,2.97,2.17,3.01
SWBI,,0.39,2.63,1.42,1.66
BGFV,,0.14,0.0,0.94,3.54
IPI,,0.33,6.41,0.85,4.7
GVP,,0.27,1.44,0.73,
SHEN,,1.12,2.59,1.43,
COE,,0.1,0.0,-0.05,-0.04
SOHU,,0.41,1.35,0.49,
NISN,0.0,0.11,2.02,0.1,0.09
X,0.63,0.23,1.03,0.59,4.94
