symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn
IMOS,0.08,0.13,0.03,6.36,66.74,-46.34,['1997'],0.15,0.11,7.77,0.8,0.22,0.02
CHNR,-0.25,-0.29,0.23,-2.8,47.51,59.12,['1993'],-0.4,-0.18,-4.3,2.43,0.22,-0.15
X,0.05,0.07,0.71,0.66,-176.62,-70.01,['1901'],0.08,0.08,13.3,0.77,0.21,0.07
BKEP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
LBTYA,0.13,0.35,0.41,1.28,149.88,28.41,,0.3,0.21,5.43,0.87,0.3,0.66
LBTYK,0.13,0.35,0.42,1.24,149.88,28.41,,0.3,0.21,5.43,0.87,0.3,0.66
LX,0.1,0.31,0.04,7.21,78.08,-121.39,,0.26,0.2,5.85,0.73,0.12,0.02
ICLK,-0.06,-0.12,0.83,-0.06,-10.31,,,-0.12,-0.12,-9.53,1.04,0.0,-0.32
NBRV,-0.93,-1.68,2.38,-0.39,-24.26,7.34,,-1.77,-1.62,-16.76,2.68,0.05,-0.02
AVRO,-0.43,-0.49,0.2,-3.43,40.32,-24.74,,-0.68,-0.62,-7.67,inf,0.07,-0.0
NVCN,-3.39,0.1,8.75,-0.05,-33.02,-4.85,,-3.34,-2.87,-29.0,16.09,0.13,-0.02
CYCC,-0.39,-0.48,0.24,-2.08,46.31,-22.57,,-0.63,-0.63,-7.89,inf,0.0,0.0
ALLK,-0.28,-0.31,0.9,-0.67,83.9,-41.88,,-0.44,-0.44,-6.67,inf,0.0,0.0
GIGM,-0.04,-0.04,0.28,-0.24,31.75,24.41,['1998'],-0.06,-0.06,-17.27,1.72,0.0,0.0
NVIV,-0.85,-1.15,4.27,-0.13,-21.25,11.64,,-1.42,-1.42,-14.9,inf,0.0,
BNTC,-1.07,-1.92,0.54,-11.73,-106.06,-72.33,['1995'],-2.03,-2.03,-20.79,245.58,0.0,-0.0
GLYC,-0.4,-0.45,1.43,-0.54,10.79,-5.22,,-0.62,-0.62,-7.81,55.71,0.0,0.0
WILC,0.08,0.08,0.37,0.22,31.35,-378.49,1994,0.12,0.12,9.53,0.89,0.0,0.0
FTFT,0.63,3.02,0.35,-0.48,-217.65,-25.43,,2.14,2.14,21.87,1.5,0.0,-0.0
MGTA,-0.42,-0.47,0.53,-0.78,8.67,-6.09,,-0.66,-0.66,-8.12,inf,0.0,0.0
PRQR,-0.4,-0.59,0.82,-0.66,22.62,12.87,,-0.7,-0.5,-6.43,24.86,0.19,-0.06
KNDI,-0.0,-0.01,0.52,0.1,-83.05,34.24,,-0.0,0.0,-inf,1.51,0.0,-0.01
