symbol,lookahead,adj growth rate,wacc,terminal val,dcf,current price,future price,growth,niev,adj growth,avg roc,cash,net_margin,roa
IMOS,4300208650.0,0.45,0.0689,444312737864.08,79689774732.99,22.34,2191.57,9710.0,6.16,0.45,0.09,0.82,0.18,0.08
CHNR,-40929200.0,0.32,0.0677,-421602693.6,-1052763677.76,0.419,-25.71,-6236.0,-2.81,0.32,-0.01,0.79,-2.57,-0.25
X,3547900000.0,-1.18,0.1208,64957377049.18,39052050847.46,27.04,166.7,516.0,0.66,-1.18,0.06,0.65,0.21,0.05
BKEP,0.0,0.0,0.011000000000000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBTYA,11412780000.0,1.0,0.07,163141772151.9,855859493637.7,19.63,4838.62,24549.0,1.26,1.0,0.15,0.22,1.3,0.13
LBTYK,11412780000.0,1.0,0.07139999999999999,165233333333.33,844173992982.63,20.45,2390.69,11590.0,1.21,1.0,0.15,0.22,1.3,0.13
LX,1983834550.0,0.52,0.011200000000000002,-103589645714.29,458822975645.33,1.73,2508.28,144887.0,7.38,0.52,0.24,0.26,0.21,0.1
ICLK,-11586350.0,-0.07,0.0481,,,2.63,,,-0.05,-0.07,-0.12,0.44,-0.04,-0.06
NBRV,-42032500.0,-0.16,0.11130000000000001,-869568539.33,-1049962361.31,2.1,-18.51,-981.0,-0.42,-0.16,-1.22,2.13,-1.71,-0.93
AVRO,-101257100.0,0.27,0.09880000000000001,-1642753057.85,-2325546517.75,0.8721,-53.27,-6208.0,-3.13,0.27,-0.47,9.78,-inf,-0.43
NVCN,-21155708.65,-0.22,0.1249,-349711759.9,-396164780.18,8.83,-5.86,-166.0,-0.04,-0.22,-2.6,10.35,-9.77,-3.39
CYCC,-16053950.0,0.31,0.08810000000000001,-373854757.28,-544057483.32,0.87,-54.54,-6369.0,-2.18,0.31,-0.46,6.91,-inf,-0.39
ALLK,-229381000.0,0.56,0.0828,-4009211479.03,-9530737454.95,8.32,-175.48,-2209.0,-0.6,0.56,-0.29,3.8,-inf,-0.28
GIGM,-2916378.9,0.21,0.053099999999999994,-257400000.0,-1433544855.38,1.23,-129.71,-10646.0,-0.25,0.21,-0.04,13.01,-0.62,-0.04
NVIV,-8410750.0,-0.14,0.07719999999999999,-226503225.81,-348841833.11,2.2,-10.18,-563.0,-0.13,-0.14,-1.05,7.29,-inf,-0.85
BNTC,-15476800.0,-0.71,0.0992,-265191653.29,-342676604.75,0.19,-41.93,-22168.0,-11.73,-0.71,-1.65,1.6,-249.42,-1.07
GLYC,-53913321.45,0.07,0.1354,-605608616.82,-736066012.7,2.29,-14.23,-721.0,-0.54,0.07,-0.44,7.63,-54.69,-0.4
WILC,38335850.0,0.21,0.071,1729744051.45,1942459339.41,16.9799,140.08,725.0,0.19,0.21,0.08,3.9,0.1,0.08
FTFT,-11555694.75,-1.46,0.0723,-412701863.69,-977375896.87,0.3633,-13.95,-3940.0,-0.53,-1.46,3.28,6.95,-0.54,0.63
MGTA,-60465600.0,0.06,0.1333,-626656463.29,-800561064.27,1.33,-13.62,-1124.0,-0.91,0.06,-0.45,12.12,-inf,-0.42
PRQR,-52377850.0,0.15,0.0876,-562481355.93,-865228755.23,1.35,-11.74,-969.9999999999999,-0.62,0.15,-0.44,6.8,-25.71,-0.4
KNDI,19434228.3,-0.56,0.13570000000000002,178509258.87,-279645970.65,2.72,-3.61,-233.0,0.11,-0.56,-0.01,2.01,0.25,-0.0
HSDT,-15412200.0,0.02,0.1463,-126411668.19,-152587796.53,0.29,-40.38,-14024.0,-16.25,0.02,-2.35,4.15,-34.74,-1.35
BLPH,-15092600.0,-1.15,0.0462,-2894370731.71,-1015999077.92,1.02,-106.88,-10578.0,-1.83,-1.15,-0.89,4.9,-inf,-0.5
DFFN,-20481367.95,0.12,0.1343,-154527259.84,-192489911.02,6.1,-1.89,-131.0,-0.04,0.12,-0.71,12.75,-inf,-0.66
AEZS,-7112800.0,-0.44,0.11720000000000001,-115194818.65,-161676742.15,3.96,-1.33,-134.0,-0.02,-0.44,-0.12,8.41,-1.59,-0.09
NCNA,0.0,0.0,0.083,0.0,0.0,0.825001,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
ONTX,-13738550.0,-0.03,0.08289999999999999,,,0.8528,,,-0.91,-0.03,-1.6,9.01,-71.52,-0.9
XBIO,-4798402.149999999,0.03,0.1519,-42737117.78,-51310428.07,0.4015,-3.83,-1054.0,-1.05,0.03,-0.6,12.84,-4.86,-0.55
MBRX,-13509900.0,0.08,0.12960000000000002,-212397842.5,-259742863.15,1.3486,-9.09,-774.0,-0.41,0.08,-0.56,19.58,-inf,-0.48
NNDM,-170660450.0,1.67,0.1433,-330403872.22,-100246750014.22,2.34,-390.84,-16803.0,-0.33,1.67,-0.4,26.68,-19.13,-0.34
ACTG,126817450.0,-1.75,0.0584,701189949.75,1307666931.22,4.09,26.37,545.0,0.74,-1.75,-0.02,1.54,1.69,-0.04
ZYNE,-31712670.4,0.02,0.0926,-623811530.34,-842675564.87,0.596,-20.44,-3529.9999999999995,-1.52,0.02,-0.63,6.85,-inf,-0.53
