symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn,roc
TRTL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
APLD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ARIS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ABM,0.0,0.0,0.0,0.0,0.0,0.0,['1985'],0.0,0.0,10.0,0.0,0.0,0.0,0.0
AVNW,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AVNW,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AGRO,0.01,0.03,0.91,0.14,10455.18,-50.81,,0.02,0.05,50.5,0.76,0.27,0.29,0.01
BHR,-0.02,-0.11,0.58,-0.12,-9539.69,-134.55,,-0.08,-0.19,-14.4,1.0,0.62,223.56,-0.02
BHR,-0.02,-0.11,0.58,-0.12,-9539.69,-134.55,,-0.08,-0.19,-14.4,1.0,0.62,223.56,-0.02
URBN,0.07,0.12,1.6,0.11,8295.96,154.25,['1970'],0.13,0.13,8.99,0.91,0.0,0.0,0.09
AMPG,-0.07,-0.53,0.77,-0.21,-5694.98,-440.78,,-0.34,-0.34,-6.34,1.97,0.01,-0.01,-0.08
AWX,0.0,0.0,0.28,0.18,4605.09,12.05,['1998'],0.0,0.02,inf,0.99,0.25,2.06,0.0
AWX,0.0,0.0,0.28,0.18,4605.09,12.05,['1998'],0.0,0.02,inf,0.99,0.25,2.06,0.0
UIHC,-0.02,-0.12,0.04,-4.36,-3405.92,-290.71,['1999'],-0.08,-0.04,-12.9,1.12,0.06,-0.13,-0.07
VZIO,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
WTTR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TSE,0.06,0.24,0.9,0.48,1769.89,-4.85,,0.18,0.08,6.36,0.91,0.49,0.17,0.07
WOW,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
CALM,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
CALM,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
UIS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BKR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BKR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ASPS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ASPS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
YSG,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AZRE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AZRE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AEG,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
WHLR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TRMR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
WYY,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
VTRS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TJX,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
VGZ,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ZM,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BTTR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BTTR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
YALA,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AOMR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TURN,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ARBK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
XBIT,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BATL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BATL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
AMRK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BMRN,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BMRN,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TLK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
CAAP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
CAAP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
VNET,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
BCSF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
