symbol,adj growth,wacc,roa,dcf,current price,future price,growth,avg roc,niev,cash,net_margin
TRTL,0.0,0.001,0.03,-4467102260.0,9.9,-129.48,-1408.0,0.03,0.02,5.58,0.0
APLD,9.08,0.3346,,-378575187644594.75,1.89,-4017186.15,-212549631.99999997,,-0.13,1.6,-2.75
ARIS,-336.1,0.0055000000000000005,0.0,5.331069469914739e+28,16.27,2.0106545083237744e+21,1.235804860678411e+22,0.0,-0.0,1.22,-0.03
ABM,93.64,0.0867,0.02,5.50502478084479e+24,46.29,8.321844222496526e+16,1.7977628478065504e+17,0.03,0.04,0.05,0.02
AVNW,95.09,0.1618,0.12,5.8358525844073025e+23,32.84,5.155301264482914e+16,1.5698237711580115e+17,0.19,0.06,0.35,0.07
AVNW,95.09,0.1618,0.12,5.8358525844073025e+23,32.84,5.155301264482914e+16,1.5698237711580115e+17,0.19,0.06,0.35,0.07
AGRO,70.05,0.0611,0.01,5.3443336786480994e+23,7.84,4882944274180759.0,6.22824524767953e+16,0.01,0.15,0.56,0.12
BHR,-63.92,0.0574,-0.02,3.7101704363276446e+22,3.7,519221572361278.4,1.403301546922364e+16,-0.02,-0.09,2.05,-0.06
BHR,-63.92,0.0574,-0.02,3.7101704363276446e+22,3.7,519221572361278.4,1.403301546922364e+16,-0.02,-0.09,2.05,-0.06
URBN,55.58,0.0885,0.07,1.308984896640056e+23,29.53,1420116142148535.2,4809062452246887.0,0.09,0.11,0.21,0.07
AMPG,-38.16,0.1066,-0.07,3.77681540040173e+19,2.22,3921067554670.5,176624664624697.0,-0.08,-0.22,4.72,-0.9
AWX,30.85,0.0264,0.0,7.946053856657372e+18,2.889,2416940324139.54,83660101216222.0,0.0,0.17,0.18,0.03
AWX,30.85,0.0264,0.0,7.946053856657372e+18,2.889,2416940324139.54,83660101216222.0,0.0,0.17,0.18,0.03
UIHC,-22.82,0.0443,-0.02,6.474912937138567e+18,0.332,149508127512.83,45032568527861.0,-0.07,-4.03,0.1,-0.09
VZIO,-32.84,0.006999999999999999,,1.8630322345468933e+20,10.03,1583726269634.2,15789893017190.0,,-0.02,0.56,-0.02
WTTR,-27.79,0.149,-0.1,1.2266915167834266e+19,8.19,125041947677.47,1526763707806.0,-0.11,-0.05,0.53,-0.06
TSE,11.86,0.0564,0.06,4.0305269696908134e+17,24.24,11524451143.83,47543115180.0,0.07,0.52,0.63,0.09
WOW,11.28,0.08439999999999999,0.1,3.764573123092997e+17,10.1,4294506655.35,42519867775.0,0.12,0.87,0.6,1.06
CALM,13.81,0.013999999999999999,0.04,6.069397486745156e+17,59.29,13751611469.9,23193812465.0,0.04,0.05,0.32,0.07
CALM,13.81,0.013999999999999999,0.04,6.069397486745156e+17,59.29,13751611469.9,23193812465.0,0.04,0.05,0.32,0.07
UIS,-10.6,0.0591,0.03,2.628604507817867e+16,4.6,387770699.63,8429797718.000001,0.05,-1.44,0.73,-0.22
BKR,-17.86,0.1069,-0.07,1.369041195852977e+18,29.51,1573668452.0,5332661547.0,-0.09,-0.01,0.42,-0.01
BKR,-17.86,0.1069,-0.07,1.369041195852977e+18,29.51,1573668452.0,5332661547.0,-0.09,-0.01,0.42,-0.01
ASPS,12.12,0.0725,-0.25,1.142306881785179e+16,14.8,708477667.11,4787011164.0,-0.33,0.05,1.79,0.07
ASPS,12.12,0.0725,-0.25,1.142306881785179e+16,14.8,718237760.72,4852957743.0,-0.33,0.05,1.79,0.07
YSG,-8.93,0.0325,-0.16,2.0711594574686468e+16,1.27,32791590.48,2582014898.0,-0.21,-1.92,3.58,-0.26
AZRE,-6.77,0.0883,-0.01,1817216212813622.5,5.32,37598147.27,706731992.0,-0.02,-16.36,0.46,-0.28
AZRE,-6.77,0.0883,-0.01,1817216212813622.5,5.32,37598147.27,706731992.0,-0.02,-16.36,0.46,-0.28
AEG,8.01,0.046799999999999994,0.0,6.7272027893572504e+16,4.94,33478663.16,677705632.0,0.0,0.17,0.27,0.03
WHLR,-9.18,0.0975,-0.02,90254996574108.45,1.7692,9272338.58,524097717.0,-0.02,-0.55,1.14,-0.15
TRMR,7.11,0.011000000000000001,0.06,1529229127804176.2,8.09,19798101.63,244723035.0,0.08,0.12,1.67,0.21
WYY,9.49,0.1032,0.02,35507768744145.99,2.1238,3885662.72,182957934.0,0.04,0.02,0.25,0.0
VTRS,-9.14,0.0493,-0.01,1.8338619336063084e+16,11.17,15163528.77,135752172.0,-0.01,-0.09,0.07,-0.07
TJX,7.68,0.0782,0.12,7.581894674786362e+16,80.19,63559575.77,79261124.0,0.18,0.03,0.59,0.07
VGZ,-8.54,0.1351,-0.47,48905217859017.62,0.5648,417319.18,73887857.0,-0.51,-0.23,7.13,-inf
ZM,6.47,0.014499999999999999,0.09,1.3359770710697768e+16,74.31,55150968.92,74217326.0,0.12,0.06,0.67,0.34
BTTR,6.23,0.1109,-1.39,12205833425476.92,0.7,417417.61,59630987.0,2.72,0.17,2.96,0.07
BTTR,6.23,0.1109,-1.39,12205833425476.92,0.7,417417.61,59630987.0,2.72,0.17,2.96,0.07
YALA,5.41,0.0163,0.43,200231079669713.75,3.73,1391169.87,37296679.0,0.52,0.15,7.86,0.3
AOMR,5.58,0.037599999999999995,0.0,55206708026907.2,6.65,2179326.86,32771732.0,-0.02,0.13,0.03,0.51
