symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,debt / assets,exp_rat,inc / earn,price,roc,net_margin,cash,adj growth,avg roc,dcf,future price,current price,growth
MSI,0.0,0.0,0.0,0.0,10.13,0.0,['1928'],0.0,0.04,10.4,0.47,0.0,0.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,0.0,-3.21,-858.56,0.0,18.18,-18.48,['1957'],-1.44,0.0949,-0.09,0.33,0.78,0.05,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD,0.0,-3.83,-195.04,0.0,14.42,-6.15,['1978'],-1.7,0.0858,0.61,0.47,0.85,0.06,,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCA,0.0,-0.73,-76.34,0.0,28.32,-11.58,['1968'],-0.26,0.1083,-3.45,0.67,0.84,0.16,,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAS,0.0,-1.65,-67.61,0.0,-2.74,1.92,['1929'],-0.68,0.0955,-0.27,0.52,0.88,0.27,,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.07,-51.24,0.0,-202.88,-0.17,['1822'],0.1,0.0676,10.4,0.68,0.43,0.1,,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLT,0.02,-0.12,-46.82,0.01,-107.73,294.07,['1919'],-0.04,0.0953,-24.5,0.56,0.58,0.38,,0.03,0.17,0.47,-0.72,0.03,-14546764208.01,-53.79,141.42,-138.0
MCD,0.13,-0.98,-44.58,0.04,13.24,-12.42,['1940'],-0.36,0.0691,-1.88,0.66,0.57,0.12,,0.15,0.32,1.17,0.09,0.15,334283827075.56,456.41,273.4,67.0
WYNN,-0.04,2.44,-40.1,-0.08,-640.95,98.18,,1.18,0.0909,1.15,0.95,1.1,-1.65,,-0.04,-0.2,1.96,-4.29,-0.04,1792422130445.36,15818.19,85.15,18477.0
ORCL,0.09,0.72,-34.27,0.03,-8.02,56.35,['1977'],0.45,0.0774,2.22,0.66,0.63,0.17,,0.11,0.16,1.1,-0.05,0.11,77818778489.37,28.86,83.35,-65.0
CAH,-0.02,-0.05,-30.89,-0.04,-246.8,1.11,['1979'],-0.04,0.0584,-24.6,0.11,0.99,0.09,,-0.04,-0.01,0.15,-1.65,-0.04,297288745380.3,1134.11,80.88,1302.0
LOW,0.12,1.28,-29.42,0.06,55.33,6.98,['1921'],0.76,0.0849,-0.28,0.52,0.87,0.07,,0.21,0.09,0.06,0.37,0.21,216817486878.76,358.55,214.84,67.0
MCK,-0.01,53.96,-23.02,0.02,606.06,-3.61,['1833'],26.97,0.0605,-229.86,0.08,0.99,0.07,,-0.02,0.0,0.07,4.06,-0.02,238676172695009.44,1563224.04,386.85,403990.0
HPQ,0.11,-4.05,-19.13,0.1,26.02,-9.77,['1939'],-1.9,0.0742,6.47,0.17,0.91,0.04,,0.49,0.05,0.12,0.15,0.42,119375263067.68,110.25,29.64,272.0
MON,-0.01,-0.48,-17.01,0.02,0.0,-99.97,,-0.25,0.0949,-6.5,0.0,0.0,0.0,,-0.29,0.0,1.3,0.0,-0.29,-288765866.5,-11.55,10.03,-215.0
VRSN,0.37,-0.51,-16.44,0.03,11.51,-4.14,['1995'],0.12,0.0917,7.03,0.9,0.35,0.1,,0.8,0.59,0.21,0.08,0.8,15966801817.1,143.74,202.1,-29.0
