symbol,adj growth,wacc,roa,dcf,current price,future price,growth,avg roc,niev,cash,net_margin
A,0.09,0.091,0.0,383897354.01,153.3943,1.3,-99.0,0.0,0.0,0.0,0.0
AAL,-1.53,0.0483,0.0,273034.86,16.3415,0.0,-100.0,0.0,0.0,0.0,0.0
AAP,0.09,0.08109999999999999,0.0,189802150.93,143.9075,3.2,-98.0,0.0,0.0,0.0,0.0
AAPL,0.17,0.1057,0.0,54229558472.53,135.16,3.42,-97.0,0.0,0.0,0.0,0.0
ABBV,0.33,0.0653,0.0,19639631458.97,147.6,11.11,-92.0,0.0,0.0,0.0,0.0
ABC,-1.41,0.0554,0.0,-13903.8,162.425,-0.0,-100.0,0.0,0.0,0.0,0.0
ABT,0.3,0.0711,0.0,9788679295.93,111.95,5.61,-95.0,0.0,0.0,0.0,0.0
ACN,0.09,0.10210000000000001,0.0,2090865642.12,276.435,3.32,-99.0,0.0,0.0,0.0,0.0
ADBE,0.15,0.1074,0.0,2237966269.33,351.845,4.89,-99.0,0.0,0.0,0.0,0.0
ADI,0.23,0.09269999999999999,0.0,2300595856.0,162.33,4.52,-97.0,0.0,0.0,0.0,0.0
ADM,0.13,0.0699,0.0,1140557163.19,84.58,2.08,-98.0,0.0,0.0,0.0,0.0
ADP,0.06,0.0836,0.0,718451833.5,234.975,1.73,-99.0,0.0,0.0,0.0,0.0
ADSK,0.09,0.11599999999999999,0.0,149828926.06,202.28,0.69,-100.0,0.0,0.0,0.0,0.0
AEE,0.05,0.0501,0.0,225704391.65,85.695,0.87,-99.0,0.0,0.0,0.0,0.0
AEP,0.06,0.0516,0.0,614951317.54,90.9,1.2,-99.0,0.0,0.0,0.0,0.0
AES,-2.57,0.0634,0.0,1410997782.19,26.71,2.11,-92.0,0.0,0.0,0.0,0.0
AFL,0.11,0.0885,0.0,1542992502.45,70.85,2.44,-97.0,0.0,0.0,0.0,0.0
AIG,-126.04,0.0758,0.0,-5.421893713350502e+27,61.97,-7.29749649636651e+18,-1.1775853632994208e+19,0.0,0.0,0.0,0.0
AIV,-4.09,0.0007000000000000001,0.0,22577944524.72,7.445,148.9,1900.0,0.0,0.0,0.0,0.0
AIZ,0.62,0.060599999999999994,0.0,12965420192.68,127.7925,245.41,92.0,0.0,0.0,0.0,0.0
AJG,0.09,0.0764,0.0,280199378.37,193.7,1.33,-99.0,0.0,0.0,0.0,0.0
AKAM,0.21,0.0694,0.0,490790137.06,87.78,3.12,-96.0,0.0,0.0,0.0,0.0
ALB,-0.27,0.1165,0.0,1535595.24,247.63,0.01,-100.0,0.0,0.0,0.0,0.0
ALB,-0.27,0.1165,0.0,1535595.24,248.07,0.01,-100.0,0.0,0.0,0.0,0.0
ALGN,0.57,0.1153,0.0,4756521647.96,239.4,60.89,-75.0,0.0,0.0,0.0,0.0
ALK,-0.74,0.08220000000000001,0.0,2266.06,49.89,0.0,-100.0,0.0,0.0,0.0,0.0
ALL,0.15,0.0633,0.0,786594990.6,125.745,2.97,-98.0,0.0,0.0,0.0,0.0
ALLE,0.05,0.0799,0.0,108879620.14,110.08,1.24,-99.0,0.0,0.0,0.0,0.0
AMAT,0.24,0.1217,0.0,5604207840.31,107.705,6.64,-94.0,0.0,0.0,0.0,0.0
AMD,1.47,0.1341,0.0,841608065062.95,68.49,521.97,662.0,0.0,0.0,0.0,0.0
AME,0.06,0.1016,0.0,239355707.66,140.55,1.04,-99.0,0.0,0.0,0.0,0.0
AMG,2.85,0.0902,0.0,8928659035832.7,164.41,237031.88,144071.0,0.0,0.0,0.0,0.0
AMGN,-0.07,0.0659,0.0,479646336.39,261.515,0.9,-100.0,0.0,0.0,0.0,0.0
AMP,0.11,0.1073,0.0,970937421.98,330.77,9.12,-97.0,0.0,0.0,0.0,0.0
AMT,0.21,0.058600000000000006,0.0,1963228711.41,218.0718,4.22,-98.0,0.0,0.0,0.0,0.0
